"engagement","anger","contempt","disgust","fear","happiness","neutral","sadness","surprise"
"0.6",4.864867002185912,12.511107840893892,9.149087541136698,7.966981088650336,13.874654168253494,12.585088195670902,13.456943051095982,13.595461976662067
"0.5",14.079980188243953,11.781999688507662,9.60305151312525,9.052098281631123,11.765036764500806,11.5090112353225,7.597561810382299,11.714022192193914
"0.8",9.061068346572137,5.845471516592793,8.348961430964284,5.071597156594044,10.892283301469583,1.982162734250803,11.245512476115515,7.255412325940731
"0.8",8.766412558797063,14.030547548383208,12.166620680863439,7.58948449064871,11.23423029392448,13.328915637075072,1.8722248268023756,6.060944995593582
"0.4",9.842929522581498,8.910163051775768,12.076611824164937,10.949597119922874,7.627161619637759,4.129658627339849,10.458899574066898,1.5704587839109618
"0.3",10.23329852206132,12.776290614417602,10.430645057521428,12.053853899683666,6.298302752684435,5.1672878929840955,7.360896294036369,12.204294858711979
"0.3",7.83807648551938,2.6564780455282397,6.91808279760858,0.45672792279994323,13.569325306966812,0.3772261351928097,8.415973574562233,11.594791350186322
"0.4",14.916198192743582,6.545648850216525,3.8260018062440695,13.31373975452777,7.664152725897391,12.323072792573823,8.463792347625699,0.5779574167898816
"0.3",9.316253555996358,13.244976055322066,1.538098288480585,1.5078697069309266,9.630917863967536,10.784704951281638,1.1748003689988573,14.78181726439226
"0.4",9.546670197044293,4.407693165602028,12.761949264028106,12.393223284212759,0.4430205071112603,3.6050248666475273,4.601148261256105,7.639019036463777
"0.9",13.212136947082804,7.365808257014649,14.733107013504528,4.419939207811053,6.428592239768351,8.27848237755684,8.683443692715072,12.113004939127745
"0.8",2.3332252432233656,12.133781577824882,13.364159615212774,11.433985745950812,13.494769243325438,12.141708529886843,13.410877033536497,1.9711429020777071
"0.8",12.17212484155684,8.668382784561615,0.1790307388305279,9.610095294995029,13.704068768425937,5.346268335069895,11.933402007728994,0.3464814354275858
"0.7",1.0180080085544374,7.3104232855637505,10.714565471955526,2.043144843529375,12.214030403905824,14.603945579037177,2.495093438686533,7.088142504813635
"0.3",5.745196581613085,10.65621008087334,4.9713582014980755,12.738156042379693,5.229776163027263,3.644989265646589,4.260226049307163,14.578635556232625
"0.7",0.09938348515106998,5.340489018168137,0.21762132237233445,0.029439331240650457,11.976253169632255,11.474642008794985,8.80769292223922,14.342138396055315
"0.0",4.522874534769973,14.697984724853669,9.505264516280734,6.376486549971682,4.330243153926842,12.132352311281105,13.918287852265234,13.04547654190712
"0.1",9.278412665933535,13.266515855721577,4.674803612985594,13.28308299277602,10.185137333986717,3.1002732599948466,14.129692280367145,1.120445729758216
"0.0",3.8629912353836247,12.131851135506354,1.2032941188749957,7.518165874080756,13.832821541119468,0.9568437081497194,7.310930676596747,7.259309250849542
"1.0",1.6326966238895102,13.432909994559939,5.91731856638337,5.505348715784605,13.47958459384831,5.643768055194062,12.85719107757114,13.089184303766086
"0.2",1.5020546226210407,5.577116035306019,5.8693271727682275,0.8276737735962747,7.9572502878823395,5.332486108270546,8.462453513398856,0.71297074378181
"0.0",4.306654544747185,5.150476733278523,0.9523469454250877,4.2453728151507795,11.27640527731657,8.07695825075011,13.614973628086522,8.448421359743216
"0.6",5.609679101802171,8.38133974080981,8.945086530831347,7.747674453100122,7.192183308922216,12.930366606139218,9.035125179172192,9.494006716643725
"0.5",4.190262414268476,14.637996216887387,2.9758760214479807,8.626427424349746,13.632916577596855,3.6850140836134857,11.97094656509457,4.419300087391402
"0.5",7.430383603718861,4.043281324249697,2.727560843737967,10.622022845308898,0.6630125742686632,12.832534662895563,13.83699115856172,6.613617306506017
"0.4",0.06609145053957044,10.103579003434444,13.977668384884938,2.7463420828850826,2.7002734109656634,4.6850445237284575,13.409923608828343,0.9347891311093215
"0.0",5.763635423878469,0.018132837213077346,3.0109662991852524,14.651053034880746,6.406680028212222,12.64838689501257,12.11021997214208,5.3568638412631175
"0.3",5.555819507606739,9.096589383752647,11.751409103178611,8.731767231076224,10.226789702391535,10.39458382155768,3.8588739625093305,10.624767825629704
"0.3",14.759220563675996,1.6458491026850453,10.032795119652354,1.0412630586037785,6.762109183205522,4.811761270388874,11.768874056186402,9.543756163910706
"0.5",0.8479514486494166,1.5756466890465959,6.129678423168371,5.002377107783382,8.417517784123513,13.866238563056305,3.4757962177337918,9.527838815737699
